UserAgent,Parent,Browser,Version,MajorVersion,MinorVersion,Platform,AuthenticodeUpdate,CSSVersion,Frames,IFrames,Tables,Cookies,BackgroundSounds,VBScript,JavaScript,JavaApplets,ActiveXControls,CDF,AOL,Beta,Win16,Crawler,Stripper,WAP,NetCLR
[Mozilla/5.0 (Windows; ?; Win98; *; rv:1.*) Gecko/???????? Phoenix/0.5*],Phoenix,,0.5,,5,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Windows NT 5.0; *; rv:1.*) Gecko/???????? Phoenix/0.4*],Phoenix,,0.4,,4,Win2000,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Windows NT 5.0; *; rv:1.*) Gecko/???????? Phoenix/0.5*],Phoenix,,0.5,,5,Win2000,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Windows NT 5.1; *; rv:1.*) Gecko/???????? Phoenix/0.4*],Phoenix,,0.4,,4,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Windows NT 5.1; *; rv:1.*) Gecko/???????? Phoenix/0.5*],Phoenix,,0.5,,5,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; WinNT4.0; *; rv:1.*) Gecko/???????? Phoenix/0.4*],Phoenix,,0.4,,4,WinNT,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; WinNT4.0; *; rv:1.*) Gecko/???????? Phoenix/0.5*],Phoenix,,0.5,,5,WinNT,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (X11; ?; Linux i686; *; rv:1.*) Gecko/???????? Phoenix/0.4*],Phoenix,,0.4,,4,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (X11; ?; Linux i686; *; rv:1.*) Gecko/???????? Phoenix/0.5*],Phoenix,,0.5,,5,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla 1.0],Mozilla 1.0,Mozilla,1.0,1,0,,,2,true,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false
[Mozilla/5.0 (BeOS; ?; BeOS BePC; ?????; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,BeOS,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Macintosh; ?; 68K; *; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,Mac68K,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Macintosh; ?; PPC Mac OS X; *; rv:1.0.?) Gecko/????????],Mozilla 1.0,,,,,MacOSX,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
